name,caffeine_mg
Costa Coffee,277
Coffee Friend Brewed Coffee,145
Hell Energy Coffee,100
Killer Coffee (AU),430
Nescafe Gold,66
Espresso Monster,160
Dunkin Donuts Shot In The Dark,134
Illy Issimo Cafe,155
Starbucks Doubleshot Espresso,120
TrueStart Performance Coffee,95
Bizzy Cold Brew,125
Zola Coconut Water Espresso,125
Barista Bros Iced Coffee,140
Dare Iced Coffee,160
V Iced Coffee,155
Bottled Iced Coffee Dunkin Donuts,171
Starbucks Bottled Frappuccino,110
Stok Cold Brew,145
Wide Awake Iced Coffee Drinks,30
Caribou Canned Cold Brew,177
McDonalds Iced Coffee,133
Premier Protein Cafe Latte,120
Stumptown Cold Brew Coffee,279
Espresso Shot,77
Peet's Coffee Espresso,70
Peet's Decaf Espresso,10
Gourmesso Coffee Pods,65
Nespresso Coffee Capsules,60
Stok Coffee Shots,40
Starbucks Bottled Iced Coffee,640
Baskin Robbins Cappuccino Blast,234
Dunkin' Cold Brew,260
Dunkin' Donuts Iced Coffee,297
Dunkin' Donuts Iced Latte,166
Dutch Bros Coffee (Classic),187
Tim Hortons Large Brewed Coffee,270
7 Eleven Brewed Coffee,280
Arby's Jamocha Shake,12
Biggby Brewed Coffee,200
Biggby Creamy Lattes,100
Biggby Iced Coffee,155
Caribou Brewed Coffee,305
Coffee Bean & Tea leaf Coffee,333
Einstein Bros Coffee,206
Latte,154
McDonalds (McCafe) Latte,142
McDonalds (McCafe) Mocha,167
McDonalds Coffee,145
Panera Bread Coffee,189
Peet's Brewed Coffee,267
Peet's Caffe Americano,140
Peet's Caffe Latte,140
Peet's Caffe Mocha,165
Peet's Cappuccino,140
Peet's Iced Coffee,150
Peet's Iced Latte,140
Peet's Iced Mocha,165
Starbucks Caramel Macchiato,150
Starbucks Cold Brew Coffee,205
Starbucks Decaf Coffee,25
Starbucks Grande Caffe Americano,225
Starbucks Grande Caffe Latte,150
Starbucks Grande Caffe Mocha,175
Starbucks Grande Cappuccino,150
Starbucks Grande Coffee,310
Starbucks Iced Americano,225
Starbucks Nitro Cold Brew Coffee,280
Starbucks Pink Drink,45
Starbucks Pumpkin Cream Cold Brew,185
Starbucks Refreshers,45
Wawa Coffee,290
Private Selection Canned Espresso,145
Starbucks Doubleshot Energy,135
Wide Awak Energy Coffee,180
Chick-fil-A Frosted Coffee,130
Chick-fil-A Iced Coffee,80
Dunkin' Donuts Brewed Coffee,210
Dunkin' Donuts Dunkaccino,83
Dunkin' Donuts Extra Charged Coffee,252
Dunkin' Donuts Latte,166
Americano Coffee,154
Big Train Java Chip Ice Coffee,49
Biohazard Coffee,928
Black Ink Coffee,144
Black Insomnia Coffee,1105
Black Label Brewed Coffee,1555
Cafe Bustelo,150
Caffe Mocha,152
Caffe Nero Coffee,160
Cannonball Coffee Maximum Charge (UK),1101
Cappuccino,154
Death Wish Coffee,728
Devils Brew Extreme Caffeine Coffee,1325
Flat White,130
GymBrew Coffee,333
High Voltage Coffee (AU),1150
International Delight Iced Coffee,88
Seattle's Best Brewed Coffee,260
Starbucks Iced Espresso Classics,125
Stipe Miocic Extra Strength Coffee,500
Sudden Instant Coffee,95
Taft Coffee (EU),1182
Very Strong Coffee,1350
Chameleon Cold Brew With Milk,100
Muscle Milk Coffee House,120
SlimFast Shake - Cappuccino,100
Starbucks Bottled Cold Brew,180
Starbucks Canned Nitro Cold Brew,235
Starbucks Cold & Crafted,135
Stumptown Nitro Cold Brew,330
Sunup Pure Green Coffee,200
Wide Awake Coffee Cold Brew,120
Chameleon Cold Brew RTD,230
Chick-fil-A Brewed Coffee,136
CoolBrew Coffee,60
Tim Hortons Small French Vanilla Coffee,60
La Colombe Cold Brew,180
La Colombe Draft Latte,120
Alpine Start Instant Coffee,120
Bulletproof Coffee,145
Califia Farms Cold Brew Coffee,180
CBD Coffee,100
Chameleon Cold Brew Coffee,200
Coffee,163
"Coffee (Decaf, Instant)",2
Coffee (Instant),57
Coffee Leaf Tea,20
Crio Bru Brewed Cacao,10
Death Wish Canned Cold Brew,300
Death Wish Latte,300
Decaf Coffee,6
Driftaway Coffee,160
Eight O'Clock Coffee,112
Folgers Coffee,112
Gold Peak Coffee,126
Gothrider Gasoline Coffee,200
High Brew Coffee,140
Indulgio Cappuccino,20
K Cup Decaf,4
K-Cup Coffee,100
Maxwell House Coffee,112
Maxwell House Max Boost Coffee,196
Nescafe Dolce Gusto,106
Nescafe Ice Java,100
Nescafe Ricoffy,6
Nestle Milo,4
Noocaf Smart Coffee,160
Ocean Spray Brew,40
Purity Coffee,163
Revv Coffee Pods,127
Robusta Coffee,265
Starbucks 2X Coffee Pods,260
Starbucks Cordusio Mocha,155
Starbucks Verismo Coffee Pods,60
Starbucks Via Ready Brew,135
Steep 18 Cold Brew,90
Taster's Choice Instant Coffee,98
Voila Instant Coffee,100
Waka Decaf Instant Coffee,4
Waka Indian Instant Coffee,70
Waka Instant Coffee,70
Whipped (Dalgona) Coffee,105
Mushroom Coffee,40
Cafe Con Leche,154
Choffy (roasted cacao),23
COGO Caffeinated Hot Chocolate,98
Dripdash Kyoto Coffee,225
Long Black,154
Nescafe 3 in 1 Instant Coffee,50
Gloria Jean's Coffee,67
Biggby Espresso,100
Greek Coffee (Metrios),50
Turkish Coffee,50
28 Black Energy Drink,80
4 Purpose Energy Drink,70
BEEBAD Energy Drink,80
Black Bruin Energy Drink,38
Blu Frog Energy Drink,80
Blue Bolt (UK),80
Blue Charge (UK),80
Blue Spark (UK),75
Bomb Energy Drink,80
Boost Energy (UK),80
Euro Shopper Energy Drink (EU),80
Hell Energy Drink (EU),80
Hype Energy Drink (EU),80
M-150 Energy Drink,80
Pure Cofain 699 (EU),175
Red Bull,80
Red Bull Editions,80
Red Bull Sugarfree,80
Red Bull Zero,80
Scheckters Energy Drink,80
Slammers Energy Drink (EU),80
Source 1899 (UK),80
Taurus Energy Drink,50
TENZING Natural Energy,80
Tiger Energy Drink,80
Tweaker Energy Drink,80
Virtue Clean Energy Beverage,80
Wildcat Energy Drink (UK),80
X Ray Energy Drink,79
OK Energy Drink,80
Power Horse Energy Drink (EU),80
V Energy Drink,78
XL Energy Drink (EU),80
Crave Energy Drink (UK),80
Bomba (EU),80
Cintron Energy Drink,85
Dutch Bros Blue Rebel Energy Drink,80
XS Energy Drink,80
Wild Tiger Energy Drink,75
Liquid Ice Energy Drink,80
Rush! Energy Drink,80
Monster Hydro,188
Monster Import,179
Moose Juice Energy Drink,200
Club Mate (EU),100
Demon Energy Drink,160
LevlUp Gaming Booster,250
Monster Ripper Energy Juice (UK),160
Monster The Doctor VR46 (UK),160
Mother Energy Drink,160
Protein2O + Energy,125
Strike Force Energy Drink Mix,160
4C Energy Drink Mix,170
Arizona Arnold Palmer Half and Half,15
Gatorade Bolt 24 Energize,75
Live+ Energy Drink,150
Pure Kick Energy Drink Mix,80
Monster Dragon Tea,155
Monster Rehab,170
Neuro Sonic,100
Lucozade,46
Fakeer Energy Drink (EU),118
Arizona Energy Drink Rx,127
Bai Boost,110
NOCCO Energy Drink (EU),180
Carabao Energy Drink (UK),106
Irn Bru (UK),30
Soylent Stacked,100
Red Eye Energy Drink,106
Mega Monster Energy Drink,240
Amino Force Energy Drink,200
Bodyarmour Edge,100
SoBe Energy Citrus,81
ABB Turbo Tea Zero,120
Bai Antioxidant Infusion,55
Viso Energy Drink,300
3D Energy Drink,200
Adrenaline Shoc,300
Alsa Energy Drink Mix,100
Bang Energy,300
Bang Keto Coffee,300
Bang Natural,250
Bang Sweet Tea,300
Beaver Buzz Energy Drink,178
Berzerk Energy Drink Mix,200
C4 Energy Drink,200
C4 Smart Energy Drink,200
C4 Ultimate Energy Drink,300
Celsius Heat Energy Drink,300
Crunk Energy Drink,192
Crystal Light Energy Mix,60
Electric Monkey Wild Energy Drink,160
Full Throttle Energy Drink,160
GFuel Cans,300
GFuel Energy Drink Mix,140
Go Fast Energy Drink,160
Go Fast High Octane Energy Drink,300
Great Value Energy Drink Mix,120
Gridlock Energy Drink,140
Hi Ball Energy Drink,160
Joker Mad Energy,160
Liquid Help Energy Drink,300
Loud Energy Drink,320
Monster Assault,160
Monster Energy,160
Monster Juice,160
Monster Lo-Carb,140
Monster Mango Loco,152
Monster Mule,160
Monster Pipeline Punch,160
Monster Ultra,150
Monster Zero Sugar,140
Mountain Dew Amp,142
Mountain Dew Game Fuel,90
Mountain Dew Rise,180
NOS Energy Drink,160
Nuun Sport,40
Propel Zero Powder,0
Pure Boost Energy Drink Mix,100
Quake Energy Berry Blast Slurpee,92
Quake Energy Drink,250
Raze Energy Drink,300
Reign Total Body Fuel,300
Rip It Energy Drink,160
Rockstar Boom,160
Rockstar Energy Drink (Original),160
Rockstar Halo Infinite,240
Rockstar Juiced,170
Rockstar Punched,240
Rockstar Pure Zero,240
Rockstar Recovery,160
Rockstar Sugar Free,160
Rockstar Thermo,300
Rockstar XDurance,300
Rockstar Zero Carb,240
Rogue Energy Drink Mix,175
Rowdy Energy Drink,160
Sneak Energy Drink Mix,150
Solimo Energy Drink,152
Speed Energy Fuel,186
Spider Energy Drink,240
Spike Hardcore Energy,350
Triton Energy Drink,200
True Lemon Energy Mix,120
Ugly Energy Water,160
Venom Death Adder,160
Wired X 3000 Energy Drink,185
Wired X Berry Rush,95
Wired X344 Energy Drink,344
Xyience Energy Drink,160
ZipFizz Energy Drink Mix,100
Zoa Energy Drink,160
Java Monster,200
Java Monster 300,300
Muscle Monster,157
Rockstar Organic Energy Drink,160
Starbucks Triple Shot Energy,225
Alani Nu Energy Drink,200
ALL IN Energy Drink,75
AXIO Energy Drink Mix,100
Bing Energy Drink,120
BreinFuel,360
Burn Energy Drink,112
C4 On The Go,200
Celsius Energy Drink,200
Celsius Stevia,200
Coca-Cola Cherry Vanilla,34
Coca-Cola Energy,114
Cocaine Energy Drink,280
Dark Dog Organic Energy,114
Duff Energy Drink,120
EBOOST Super Fuel,110
EnerBee Energy Drink,100
Go Girl Energy Drink,100
GURU Energy Drink,140
Hyde Xtreme,400
Java Kick Coffee Cola,100
Kill Cliff Energy X Recover,25
Kill Cliff Ignite,150
Kona Gold Energy Drink,115
Marquis Energy Drink,100
MATI Energy Drink,110
Meltdown Ketone Drink,225
Monster Maxx,200
Nerd Focus,128
Octane Energy Drink Mix,225
Red Power Elixir,160
Red Thunder Energy Drink,120
RootJack Caffeinated Pirate Root Beer,120
Runa,150
Sambazon Amazon Energy Drink,120
Spike Shooter,300
Steaz Energy,100
T-Virus Antidote,100
Tru Energy Wakeup,100
UPTIME Energy Drink,142
USANA Rev3 Energy Drink,120
Xtreme Shock Energy Drink,200
Zest Sparkling Tea,135
Zevia Energy Drink,120
Cran Energy Juice,70
Mamma Chia Energy,90
Oikos Pro Fuel,100
Advocare Slim,120
Arbonne Energy Fizz Stck,55
Berocca,90
Best Choice Strawberry Energy Drink Mix,120
EBOOST Energy Drink Mix,110
EBOOST Workout Crusher Mix,175
Great Value Energy Drink Enhancers,50
Kin Spritz,50
LYFT Energy Mix,125
PerformElite Pre-Workout,225
Perk Energy Beverage,100
Redline Princess,300
Redline Xtreme Energy Drink,316
Roaring Lion Energy Drink,77
Spark Energy Drink Mix,120
V8 +Energy Drink,80
Spike Energy Double Shot,350
Zombie Blood Energy Potion,80
Proper Wild Energy Shot,180
Redline Max 300,300
5 Hour Energy,200
5 Hour Energy Extra Strength,230
E6 Energy Shot,235
Eternal Energy Extra Strength,280
Eternal Energy Shot,230
Woke Up Energy Shot,225
Equip Pure Energy Shot,100
Mana Energy Potion,75
Clif Shot Energy Gel,100
Screamin Energy Max Hit,185
Vital 4U Liquid Energy,155
Kaffn8 Liquified Caffeine,75
Bang Shot,300
Redline Xtreme Shot,300
7-Eleven Energy Shot,260
Advocare Slam Energy Shot,120
Balance Active Shot,100
Balance Energy Shot,150
Forto Organic Coffee Shot,225
Kirkland Energy Shot,180
Neu Nootropic Shot,350
Nutramint Smart Serum,200
Performance Caffeine,180
Phoenix Energy Shot,280
Red Thunder Energy Shot,138
Red Thunder Extra Strength,230
Reed's Ginger Energize Shot,100
Rip It Energy Shot,120
Stacker Extreme Energy Shot,205
Tweaker Shot,275
TruBrain Extra,100
X-Mode Energy Shot,150
Red Bull Simply Cola,32
Afri Cola,83
Fritz Kola (EU),83
Pepsi Max (UK),43
Premium Cola (EU),83
Tropicana Twister Soda,0
Bawls,102
Mountain Dew Kickstart,90
Sprecher Cherry Cola,0
7-Up,0
A&W Cream Soda,0
A&W Root Beer,0
A&W Zero Sugar Cream Soda,0
Ale 8 1,37
Barqs Red Creme Soda,0
Barqs Root Beer,22
Big Red Soda,34
Canada Dry Green Tea Ginger Ale,9
Cheerwine,47
Coca-Cola Caffeine Free,0
Coca-Cola Cherry,34
Coca-Cola Cherry Zero Sugar,34
Coca-Cola Classic,34
Coca-Cola Orange Vanilla,34
Coca-Cola Vanilla,34
Coca-Cola Vanilla Zero Sugar,34
Coca-Cola With Coffee,69
Coca-Cola Zero Sugar,34
Diet Barqs Root Beer,0
Diet Cheerwine,47
Diet Coke,46
Diet Coke with Splenda,46
Diet Dr Pepper,41
Diet Mountain Dew,54
Diet Pepsi,35
Diet RC Cola,48
Diet Wild Cherry Pepsi,38
doc Soda,60
Double Cola,36
Dr Pepper,42
Dr Pepper 10,51
Dr Shasta Soda,29
Fanta,0
Faygo Cola,43
Faygo Moon Mist,20
Fresca,0
Ginger Ale,0
Green Cola,37
IBC Root Beer,0
Inca Kola,38
Kickapoo Soda: Joy Juice & Fruit Shine,40
Mello Yello,51
Mountain Dew,54
Mountain Dew Baja Blast,54
Mountain Dew Code Red,54
Mountain Dew Live Wire,54
Mountain Dew Major Melon,55
Mountain Dew Voltage,55
Mountain Dew Zero Sugar,68
Moxie Soda,24
Mug Root Beer,0
Orange Crush,0
PC Cola,12
PC Cola Diet,13
Pepsi,38
Pepsi Caffeine Free,0
Pepsi Made With Sugar,38
Pepsi Zero Sugar,69
Pibb Xtra,40
RC (Royal Crown) Cola,43
Ritz Cola,10
Ruby Red Squirt,39
Sarsaparilla,0
Shasta Cola,43
Shasta Diet Cola,47
Shasta Mountain Rush,54
Ski Soda,69
Slurpee,30
Sprite,0
Squirt Soda,0
Starbucks Refreshers Canned,50
Sun Drop Soda,64
Sunkist Orange Soda,19
Vernors Ginger Ale,0
Wave Soda,42
Wild Cherry Pepsi,38
Zevia Cola,45
Boost Nutritional Drink,5
Mucho Mango Energy Drink,0
Soda Stream,31
PG Tips Black Tea,50
Sencha Green Tea Shot,40
Xingtea Iced Green Tea,110
Gold Peak Tea,48
Pure Leaf Iced Tea,69
Honest Iced Tea,63
Nestea Iced Tea,23
Oi Ocha Green Tea,60
Teas' Tea Oolong,70
Guayaki Canned Yerba Mate,150
Inko's White Tea Energy,165
Master Brew Kombucha,76
McDonalds Sweet Tea,100
Dunkin' Donuts Iced Tea,63
Fuze Iced Tea,24
Peace Tea,23
Lipton Iced Tea,25
SoBe Green Tea,7
Arizona Iced Tea,30
Biggby Iced Tea,38
Chick-fil-A Iced Tea,62
Guayaki Yerba Mate Bottled Tea,140
Snapple Tea,37
Southern Sweet Tea,41
Taiwanese Milk Tea,151
Wendy's Iced Tea,32
Xing Craft Brew,120
Brew Dr Kombucha Uplift,130
Brisk Iced Tea,11
KOE Kombucha,15
Tejava Iced Tea,50
Turkey Hill Iced Tea,64
Big Train Spiced Chai,65
Bigelow Tea,45
Brown Rice Tea,4
Chai Tea,50
Cold Brew Tea,70
Crystal Light Iced Tea,10
Fast Lane Black Tea,110
Guayusa Tea,41
HICAF Tea,110
K Cup Tea,41
Kombucha Tea,24
Lipton Natural Energy Tea,75
Lipton Tea,55
Matcha Tea,64
Morning Thunder Tea,45
Tazo Chai,47
Tea (Black),42
Tea (Decaf),4
Tea (Green),18
Tea (Herbal),0
Tea (Iced),47
Tea (Instant),40
Tea (Jasmine),25
Tea (Oolong),37
Tea (White),28
Teavana Tea,41
Twig Tea (Kukicha),25
Waka Instant Tea,30
Yellow Tea,63
Yerba Mate Tea,40
YMateina Yerba Mate,80
Zest Highly Caffeinated Tea,150
Oregon Chai Tea,45
Pacific Chai,29
Perrier Energize,99
3 Water,50
Heroec Energy Water,60
Caribou BOUsted Sparkling Water,75
Phocus Sparkling Water,75
Poland Spring Sparkling Energy Water,75
Perrier Sparkling Water,0
VitaminWater Energy,50
VitaRain Zero Enhanced Water,42
Water Joe,70
Polar Frost Plus Energy,67
Hint Caffeine Kick Water,60
Sparkling Ice +Caffeine,70
AHA Sparkling Water,30
Arti Sparkling Water,120
Bubbl'r Sparkling Water,69
Bubly Bounce Sparkling Water,35
Bubly Sparkling Water,0
GURU Sparkling Energy Water,100
La Croix Sparkling Water,0
Limitless Sparkling Water,35
Pep Talk Sparkling Water,55
Polar Seltzer Water,0
Yerbae Sparkling Water,100
Tonic Water,0
MiO Energy Water Enhancer,60
